"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"SL","SL","RE-Mean",0,0,0,0,0,0,0,0,0
"FE","FE","SL",0,0,0,0,0,0,0,0,0
"FE","RE-Mean","SL",0.002,0.001,0,0.004,0,0,0.002,0,0
"FE","RE","SL",0.002,0.001,0,0.003,0,0,0.002,0,0
"FE","SL","SL",0,0,0,0.001,0,0,0.001,0.001,0
"RE-Mean","FE","SL",0,0,0,0,0,0,0,0,0
"RE-Mean","RE-Mean","SL",0.001,0,0,0.003,0,0,0.001,0,0
"RE-Mean","RE","SL",0.001,0,0,0.002,0,0,0.001,0,0
"RE-Mean","SL","SL",0,0,0,0,0,0,0,0,0
"RE","FE","SL",0,0,0,0,0,0,0,0,0
"RE","RE-Mean","SL",0.001,0,0,0.003,0,0,0.001,0,0
"RE","RE","SL",0.001,0,0,0.002,0,0,0.001,0,0
"RE","SL","SL",0,0,0,0,0,0,0,0,0
"SL","FE","SL",0,0,0,0.001,0,0,0,0,0
"SL","RE-Mean","SL",0,0,0,0.001,0,0,0,0,0
"SL","RE","SL",0,0,0,0,0,0,0,0,0
"SL","SL","SL",0,0,0,0,0,0,0,0,0
